episode,Reward,step_count,goal_log,goal_percentage_log
75,117.88856285993263,76,1,0.0
76,119.44835275343401,202,1,0.0
77,34.05517277234323,147,1,0.0
78,62.579264457200395,68,1,0.0
79,-84.6383584487543,187,1,0.0
80,41.437249888602096,75,1,0.0
81,-10.668234770467452,11,1,0.0
82,127.75322209014362,154,1,0.0
83,-142.18929731086334,63,1,0.0
84,-8.695285502233963,11,1,0.0
85,-9.71439462978722,9,1,0.0
86,-4.9805489242932115,7,1,0.0
87,-0.7768188731820853,11,1,0.0
88,546.8676753705748,15,2,0.1
89,-3.8537590686834324,10,2,0.1
90,560.3977963456223,17,3,0.2
91,1.6926861302467664,13,3,0.2
92,2.1455102261111865,16,3,0.2
93,-5.025099939005733,19,3,0.2
94,6.810987926353693,22,3,0.2
95,-20.26140510745628,9,3,0.2
96,-0.30613771413494106,10,3,0.2
97,-5.2947162984743255,7,3,0.2
98,13.381371504802885,15,3,0.1
99,566.844183783866,17,4,0.2
100,542.800387726723,13,5,0.2
101,562.5304914952065,19,6,0.3
102,-14.718819756604539,4,6,0.3
103,-8.692388142965198,8,6,0.3
104,-4.483794464658057,13,6,0.3
105,-2.089065244824317,10,6,0.3
106,532.112371587188,15,7,0.4
107,32.436728710106536,18,7,0.4
108,2.015468919102002,17,7,0.4
109,-15.623599795862779,11,7,0.3
110,-0.9283137095368161,8,7,0.2
111,-19.76273916535847,11,7,0.1
112,-2.344662082029261,8,7,0.1
113,-4.627763530490602,7,7,0.1
114,-10.856180446774161,14,7,0.1
115,-13.056046978661234,7,7,0.1
116,-11.594000224783862,14,7,0.0
117,-5.1791429709099965,7,7,0.0
118,-3.918465281602776,7,7,0.0
119,-8.547851135189168,8,7,0.0
120,-7.742682006270806,8,7,0.0
121,-17.03470127213492,12,7,0.0
122,22.39010744065228,11,7,0.0
123,-4.342850416810375,14,7,0.0
124,36.48177814168781,16,7,0.0
125,-0.24171441418346262,9,7,0.0
126,11.419579498996843,12,7,0.0
127,-3.8819308124325964,11,7,0.0
128,-7.095757091824954,8,7,0.0
129,-12.672480281593003,9,7,0.0
130,-12.17965202613087,10,7,0.0
131,-12.99598728083798,9,7,0.0
132,-20.48919542677225,11,7,0.0
133,-5.40760985417522,10,7,0.0
134,-7.607976398197219,8,7,0.0
135,-7.21500855852546,14,7,0.0
136,20.125809006761685,11,7,0.0
137,-8.698805257990198,13,7,0.0
138,-15.609864651076151,3,7,0.0
139,-6.1218047878327075,10,7,0.0
140,-4.732295941261418,9,7,0.0
141,25.674346918181516,12,7,0.0
142,558.1367844510045,19,8,0.1
143,-15.996188606659842,14,8,0.1
144,7.888082896141414,18,8,0.1
145,534.4419912140406,13,9,0.2
146,-19.017692597194852,13,9,0.2
147,527.6388969416099,13,10,0.3
148,-6.351444179230995,8,10,0.3
149,-9.948106725754798,7,10,0.3
150,-8.881066708610117,8,10,0.3
151,-5.829175841890624,8,10,0.3
152,-8.643065119507385,9,10,0.2
153,-16.420697325465902,10,10,0.2
154,-10.387186834530583,11,10,0.2
155,572.682186971722,25,11,0.2
156,-11.91806780056007,13,11,0.2
157,-9.748089282187596,9,11,0.1
158,-15.944790031701338,15,11,0.1
159,-4.5264891294196214,9,11,0.1
160,19.312056409660386,10,11,0.1
161,-2.3639656564090874,11,11,0.1
162,-13.09936144887393,13,11,0.1
163,-1.0373454379670939,10,11,0.1
164,-7.620081230028614,8,11,0.1
165,-7.109723557620139,8,11,0.0
166,20.657294794346537,17,11,0.0
167,-10.022691112987612,10,11,0.0
168,12.50376886578438,8,11,0.0
169,-7.603457160818561,8,11,0.0
170,10.233739364566144,11,11,0.0
171,46.75133165502201,18,11,0.0
172,533.7027474732957,10,12,0.1
173,-2.8723900971777,11,12,0.1
174,-17.76601245043259,20,12,0.1
175,83.33426650816425,20,12,0.1
176,-12.48312903295284,6,12,0.1
177,-11.670413301373712,10,12,0.1
178,-5.257768295273976,12,12,0.1
179,-15.006937756333492,11,12,0.1
180,13.772670425322271,8,12,0.1
181,16.205378130832,10,12,0.1
182,-4.555465633894677,11,12,0.0
183,-7.7086620801905354,11,12,0.0
184,-4.504473836961468,11,12,0.0
185,-5.152837810851143,9,12,0.0
186,-7.19432301984369,8,12,0.0
187,30.411329576913722,14,12,0.0
188,2.825416069612732,14,12,0.0
189,1.3254644826781323,11,12,0.0
190,-9.727170344356894,17,12,0.0
191,-14.367642901795566,16,12,0.0
192,15.14001798916293,14,12,0.0
193,527.9993680201072,10,13,0.1
194,-14.06006935368026,10,13,0.1
195,-4.165863916289817,9,13,0.1
196,-7.915041068594066,8,13,0.1
197,535.8325311727565,15,14,0.2
198,-21.537130419401485,9,14,0.2
199,4.659612457271924,11,14,0.2
200,36.54888649566826,16,14,0.2
201,-12.739573070005353,11,14,0.2
202,-10.179637988307618,11,14,0.2
203,-13.363324621012937,8,14,0.1
204,-10.494281440815026,10,14,0.1
205,-4.730993680940502,9,14,0.1
206,-12.929561509338356,8,14,0.1
207,-7.162524230485143,9,14,0.0
208,-7.626468589595287,11,14,0.0
209,563.8677259175531,17,15,0.1
210,-12.540918969208139,13,15,0.1
211,-12.771663838505702,10,15,0.1
212,536.9409828732852,11,16,0.2
213,-17.051206808068837,12,16,0.2
214,-4.247712201762937,9,16,0.2
215,-5.617634671956566,14,16,0.2
216,-5.529671657154108,13,16,0.2
217,23.307478866975455,19,16,0.2
218,-7.355061403204495,8,16,0.2
219,-6.089635798611599,8,16,0.1
220,-10.089342549106686,7,16,0.1
221,-2.846136181745033,13,16,0.1
222,74.5651138224674,29,16,0.0
223,50.40020807634315,21,16,0.0
224,-12.578010392231626,13,16,0.0
225,1.6275496101044986,11,16,0.0
226,-18.75225256754728,10,16,0.0
227,-8.13130857240575,12,16,0.0
228,-15.505770514849997,10,16,0.0
229,-10.335148179455512,7,16,0.0
230,-13.88135335378545,11,16,0.0
231,-19.5257151339874,15,16,0.0
232,-1.8730460578901322,14,16,0.0
233,545.2944920111801,16,17,0.1
234,-7.569764894502894,8,17,0.1
235,-9.871084052017668,7,17,0.1
236,32.0740189379504,15,17,0.1
237,-19.040588185798313,9,17,0.1
238,29.74004523438579,13,17,0.1
239,-3.9996480788646878,9,17,0.1
240,536.836667393363,14,18,0.2
241,34.1190558600005,14,18,0.2
242,-9.92685180672377,7,18,0.2
243,0.07127246721805847,14,18,0.1
244,-8.688506508648032,7,18,0.1
245,0.2882813098578012,17,18,0.1
246,-11.183195488308572,8,18,0.1
247,-7.521139699464088,9,18,0.1
248,-19.839702010532566,10,18,0.1
249,6.080340737568715,13,18,0.1
250,0.827041626591793,11,18,0.0
251,531.0431790223226,11,19,0.1
252,-1.5340594778640018,15,19,0.1
253,541.1691649813059,13,20,0.2
254,-10.737784200255046,8,20,0.2
255,-23.45681871866951,10,20,0.2
256,-12.846307797268409,7,20,0.2
257,-9.036660906889697,11,20,0.2
258,-5.804834042291642,10,20,0.2
259,-11.561784426556367,10,20,0.2
260,-4.506276366427649,15,20,0.2
261,-0.6613140123978205,12,20,0.1
262,-10.874231852707705,8,20,0.1
263,-20.58729154907925,10,20,0.0
264,-7.41096360610851,11,20,0.0
265,-5.817201814473256,9,20,0.0
266,-3.9586311481821035,12,20,0.0
267,-12.161660669610768,7,20,0.0
268,-5.487819053459722,11,20,0.0
269,-8.85303247474831,9,20,0.0
270,-11.225671383236008,7,20,0.0
271,37.868496049859104,15,20,0.0
272,-12.289114997462992,7,20,0.0
273,39.327043515563275,16,20,0.0
274,-12.16368091578067,7,20,0.0
275,-18.997048482464955,10,20,0.0
276,-9.84628836164611,9,20,0.0
277,579.6717088491309,21,21,0.1
278,76.56216073638178,25,21,0.1
279,-12.56661154330439,7,21,0.1
280,550.0555566364428,13,22,0.2
281,-9.606795904509266,10,22,0.2
282,535.1611921443632,14,23,0.3
283,531.9627043607711,12,24,0.4
284,533.9280549383726,12,25,0.5
285,-18.5308232505545,11,25,0.5
286,26.55533510480556,15,25,0.5
287,-20.472325068117364,17,25,0.4
288,-12.775858389346766,11,25,0.4
289,542.2364182455143,13,26,0.5
290,-10.669023681234817,8,26,0.4
291,-10.5332313511598,11,26,0.4
292,-13.664880301504706,9,26,0.3
293,-15.06515346215161,9,26,0.2
294,-8.978496042209095,9,26,0.1
295,-11.199843729047291,7,26,0.1
296,-11.902019969017397,7,26,0.1
297,-18.058904415162207,11,26,0.1
298,11.334707846150348,15,26,0.1
299,-11.604117089643356,7,26,0.0
300,-11.50196198786335,7,26,0.0
301,-5.7754215151194686,10,26,0.0
302,526.4221384945444,9,27,0.1
