episode,Reward,step_count,goal_log,goal_percentage_log
0,12.683148917817793,25,0,0.0
1,-19.370979913682447,9,0,0.0
2,-10.253679521234156,26,0,0.0
3,17.799350451496053,20,0,0.0
4,-15.914015690554963,10,0,0.0
5,4.669906390551164,17,0,0.0
6,146.53688292666763,39,0,0.0
7,11.216372150865196,24,0,0.0
8,-19.741863723431106,10,0,0.0
9,-50.05153907064845,25,0,0.0
10,-54.80927212830973,26,0,0.0
11,-29.72578296727277,6,0,0.0
12,-17.61509120816022,1,0,0.0
13,1.7432829665041023,31,0,0.0
14,-55.420251324889605,16,0,0.0
15,-13.988451849080258,17,0,0.0
16,9.178204942363237,32,0,0.0
17,97.94602462534613,43,0,0.0
18,-39.54145776733914,11,0,0.0
19,-39.81335778779172,13,0,0.0
20,-17.6546185370745,1,0,0.0
21,-54.8686488837032,14,0,0.0
22,18.520210194645614,32,0,0.0
23,9.960713308598525,31,0,0.0
24,-14.297509816947645,25,0,0.0
25,24.53200893995407,18,0,0.0
26,-63.97760224050688,16,0,0.0
27,-19.796699362779137,8,0,0.0
28,-17.58368218316658,1,0,0.0
29,-34.44867647776849,15,0,0.0
30,-23.28405206554746,15,0,0.0
31,33.938901191645265,28,0,0.0
32,6.581866017095333,17,0,0.0
33,-31.56006112663215,9,0,0.0
34,-21.782600971042868,27,0,0.0
35,-38.503596483788115,14,0,0.0
36,37.32907648952503,31,0,0.0
37,-23.19283312972344,3,0,0.0
38,-26.857783995527058,6,0,0.0
39,29.2680764198137,35,0,0.0
40,-17.593307888678787,1,0,0.0
41,-34.78513644872953,11,0,0.0
42,-29.682345727081817,15,0,0.0
43,621.5533179219501,32,1,0.1
44,-31.071345769711368,9,1,0.1
45,-58.43831609249078,18,1,0.1
46,-17.88417960547289,1,1,0.1
47,-35.37482860567978,9,1,0.1
48,-10.39523480922469,12,1,0.1
49,29.668322376714986,32,1,0.1
50,-39.93282254160491,10,1,0.1
51,-21.03420415583873,30,1,0.1
52,3.854412052683312,24,1,0.1
53,6.319385470527987,19,1,0.0
54,-53.2462369102354,13,1,0.0
55,-38.14680973136005,9,1,0.0
56,-44.5300716886033,13,1,0.0
57,-49.84876731666694,20,1,0.0
58,-34.57665769948025,8,1,0.0
59,-68.12545380670376,16,1,0.0
60,13.938485511849986,18,1,0.0
61,-67.01782699755161,38,1,0.0
62,-17.596694502653676,1,1,0.0
63,-61.03929805833124,19,1,0.0
64,69.92335515096423,20,1,0.0
65,-17.755081999978927,1,1,0.0
66,16.21256524774643,25,1,0.0
67,-18.49495899777792,15,1,0.0
68,580.7567387186532,24,2,0.1
69,34.39351938381458,27,2,0.1
70,88.22889190924859,33,2,0.1
71,5.3547551376078495,22,2,0.1
72,-7.351334838832475,18,2,0.1
73,-34.916489767893054,7,2,0.1
74,-36.515387731148095,8,2,0.1
75,-0.5679980181790079,20,2,0.1
76,-30.93829913910109,6,2,0.1
77,594.2805177657568,26,3,0.2
78,-13.845548259485833,12,3,0.1
79,-0.6791218460145529,18,3,0.1
80,-22.3768257190833,22,3,0.1
81,-55.27332419761565,13,3,0.1
82,-34.8303930489878,9,3,0.1
83,15.292729480232866,16,3,0.1
84,-0.6034986481261022,16,3,0.1
85,-1.0093889939119904,22,3,0.1
86,-17.794577586048913,1,3,0.1
87,17.796915508040513,21,3,0.0
88,-8.49530624617547,10,3,0.0
89,-24.878065577846243,9,3,0.0
90,-26.262797493850716,12,3,0.0
91,-59.27985957983772,17,3,0.0
92,-35.96607564639627,14,3,0.0
93,6.331745476886219,20,3,0.0
94,37.01875978854636,23,3,0.0
95,7.075913992707097,19,3,0.0
96,19.873690133000938,34,3,0.0
97,38.892934962463784,24,3,0.0
98,-6.607385963875637,29,3,0.0
99,2.2120528355199607,9,3,0.0
100,-79.09882554759695,31,3,0.0
101,64.71613564755289,32,3,0.0
102,11.131342513841485,34,3,0.0
103,-15.714234882929219,27,3,0.0
104,-31.69322504751428,17,3,0.0
105,3.977560234222363,23,3,0.0
106,44.13574958286742,23,3,0.0
107,26.83385122503378,20,3,0.0
108,-21.672589402192383,14,3,0.0
109,-6.823307462033281,23,3,0.0
110,126.08401719686142,42,3,0.0
111,-2.120091354383284,10,3,0.0
112,26.147355166194036,21,3,0.0
113,12.702055716821617,19,3,0.0
114,17.143563687218574,24,3,0.0
115,11.910323459958551,22,3,0.0
116,3.2892446998687603,17,3,0.0
117,-10.04208865635834,35,3,0.0
118,1.30897828354294,20,3,0.0
119,2.144608015603138,22,3,0.0
120,-35.1692095836509,12,3,0.0
121,3.5856675505492124,11,3,0.0
122,27.950527335148713,21,3,0.0
123,-46.11810973335435,15,3,0.0
124,-42.279299594595415,17,3,0.0
125,-41.15979576408172,10,3,0.0
126,-17.87047321285886,18,3,0.0
127,-60.66405252160578,16,3,0.0
128,31.779139680057817,30,3,0.0
129,-39.136481164894604,15,3,0.0
130,12.989931265591107,49,3,0.0
131,-17.70659881649801,1,3,0.0
132,-79.1576938250073,22,3,0.0
133,-60.54003021788071,14,3,0.0
134,-8.535256081486782,27,3,0.0
135,-57.32618372774504,17,3,0.0
136,-17.759486125698974,1,3,0.0
137,-27.20918484522676,16,3,0.0
138,-17.975573791007736,17,3,0.0
139,-45.09639724335602,10,3,0.0
140,-70.93796847309022,27,3,0.0
141,10.647778008187412,23,3,0.0
142,-0.27742437154279287,21,3,0.0
143,-11.741530737786718,37,3,0.0
144,14.0934670116566,20,3,0.0
145,-46.804389654237454,19,3,0.0
146,-42.23452211729124,11,3,0.0
147,-24.396077337033773,12,3,0.0
148,-17.689194817552707,1,3,0.0
149,-24.058497053077676,16,3,0.0
150,-47.999841474703445,14,3,0.0
151,-72.9058807215579,42,3,0.0
152,-57.940571839355606,17,3,0.0
153,-23.894971570937653,27,3,0.0
154,-11.130354367065225,36,3,0.0
155,36.345417716647844,39,3,0.0
156,-62.315782280901544,18,3,0.0
157,-17.621387591974706,1,3,0.0
158,-46.903046199474836,22,3,0.0
159,-38.880204736800565,8,3,0.0
160,-17.784086027260017,1,3,0.0
161,-28.823982879913657,16,3,0.0
162,-17.855095991527186,1,3,0.0
163,-47.7381536098075,13,3,0.0
164,-31.18791689630339,7,3,0.0
165,-43.16497809503773,10,3,0.0
166,-22.001979350160166,10,3,0.0
167,-17.721860657741416,1,3,0.0
168,-69.33060065683473,19,3,0.0
169,-69.91186300135647,18,3,0.0
170,-36.657739018988664,19,3,0.0
171,-15.223049773130619,23,3,0.0
172,-17.77718676603235,1,3,0.0
173,15.040705169941873,34,3,0.0
174,-39.217429136718486,9,3,0.0
175,-17.804869367425255,1,3,0.0
176,-47.87548341338647,11,3,0.0
177,-23.221833870728034,3,3,0.0
178,-20.605023140394167,23,3,0.0
179,-23.239275518720518,3,3,0.0
180,-52.159518697503756,23,3,0.0
181,-17.834585647654897,1,3,0.0
182,-41.90908019391303,10,3,0.0
183,11.284906183987072,38,3,0.0
184,18.77295098231742,23,3,0.0
185,-44.16180211785928,12,3,0.0
186,-29.722917797834,28,3,0.0
187,-46.28327143802453,14,3,0.0
188,-17.62734386908884,1,3,0.0
189,-42.684026873004626,9,3,0.0
190,-34.570909369606525,18,3,0.0
191,-17.62071195776604,1,3,0.0
192,-36.24147593476006,12,3,0.0
193,-56.06246483322499,20,3,0.0
194,-50.31384824734597,12,3,0.0
195,-55.292909840750305,16,3,0.0
196,-25.299510098442923,42,3,0.0
197,-22.914509968673677,17,3,0.0
198,-43.5533579347853,13,3,0.0
199,5.721592931317613,26,3,0.0
200,-50.87505264426167,32,3,0.0
201,-23.39005250223314,3,3,0.0
202,-28.973090213140054,7,3,0.0
203,-64.25665836067627,19,3,0.0
204,-40.94571710562298,17,3,0.0
205,-33.613956278719314,7,3,0.0
206,-20.84166597730853,26,3,0.0
207,-50.49159481835325,15,3,0.0
208,-17.585789489886253,1,3,0.0
209,-52.05683766611473,18,3,0.0
210,-36.05292829407358,8,3,0.0
211,39.43199803788334,27,3,0.0
212,-17.68302817313847,20,3,0.0
213,-65.45399733047157,23,3,0.0
214,-42.682253428231135,16,3,0.0
215,-38.63978069231839,8,3,0.0
216,-17.803548936879125,1,3,0.0
217,14.608385535151,40,3,0.0
218,-32.706031262472266,9,3,0.0
219,-15.687158932422522,21,3,0.0
220,-17.827350291067326,1,3,0.0
221,-45.55796974712287,11,3,0.0
222,-17.859737441012296,1,3,0.0
223,-39.74974314758495,11,3,0.0
224,-17.676373730533786,1,3,0.0
225,-49.49944377674426,16,3,0.0
226,12.103010926215504,30,3,0.0
227,-15.89262914855785,36,3,0.0
228,-17.80170745260656,1,3,0.0
229,-62.101158918230865,20,3,0.0
230,-1.7199646610187678,27,3,0.0
231,-40.64885741674928,9,3,0.0
232,-37.53347521139949,13,3,0.0
233,-17.648758951685984,1,3,0.0
234,-55.136251702423685,38,3,0.0
235,-8.948022578712637,27,3,0.0
236,-17.893001257249868,1,3,0.0
237,574.7525563199907,61,4,0.1
238,36.13123246351349,44,4,0.1
239,18.860568101017105,28,4,0.1
240,-20.61878669375634,24,4,0.1
241,-57.97352585886712,19,4,0.1
242,104.25020254426552,47,4,0.1
243,-14.109100339577555,33,4,0.1
244,0.6558205574908431,50,4,0.1
245,-30.812945799663098,6,4,0.1
246,-17.720733752377853,1,4,0.1
247,-14.308730788128386,15,4,0.0
248,-67.07525899067808,25,4,0.0
249,544.4742499714864,54,5,0.1
250,-19.620306161824004,20,5,0.1
251,669.8098832054106,52,6,0.2
252,-48.49703865440691,10,6,0.2
253,-36.30933067429835,35,6,0.2
254,-17.59480270841879,1,6,0.2
