episode,Reward,step_count,goal_log,goal_percentage_log
0,29.674516476689156,18,0,0.0
1,-13.725575446115734,13,0,0.0
2,6.516184075191271,17,0,0.0
3,96.06072129421699,46,0,0.0
4,25.212234525064872,27,0,0.0
5,-6.880086900943072,9,0,0.0
6,-4.658581258467963,11,0,0.0
7,12.848742317341596,17,0,0.0
8,37.92755705680188,21,0,0.0
9,63.19391809996949,38,0,0.0
10,132.48268288968703,61,0,0.0
11,105.64445040181138,24,0,0.0
12,159.82590692043436,52,0,0.0
13,13.528355836354637,21,0,0.0
14,44.27214898622666,20,0,0.0
15,-0.6181109054776783,12,0,0.0
16,27.650112966055158,21,0,0.0
17,214.4250058884295,59,0,0.0
18,54.27826642004519,26,0,0.0
19,0.019863527110926427,10,0,0.0
20,0.7146197938026564,12,0,0.0
21,44.73878356284531,26,0,0.0
22,33.73905182836063,15,0,0.0
23,8.648939290808679,17,0,0.0
24,71.67537568702845,40,0,0.0
25,8.850238086857466,18,0,0.0
26,54.98894623486549,24,0,0.0
27,1.737448593588356,14,0,0.0
28,64.232317953884,70,0,0.0
29,-0.12399399429703095,16,0,0.0
30,-2.781124624911252,10,0,0.0
31,50.475506975078595,18,0,0.0
32,4.656000895117794,12,0,0.0
33,18.903066600950403,20,0,0.0
34,93.57550952715938,27,0,0.0
35,-19.98758968845624,11,0,0.0
36,-2.2568195846263617,11,0,0.0
37,1.2893610274630447,15,0,0.0
38,-8.63389857894426,12,0,0.0
39,-1.5886085999461699,13,0,0.0
40,7.755677769811163,16,0,0.0
41,78.95024609426599,25,0,0.0
42,5.850365225606142,18,0,0.0
43,563.5776268327011,16,1,0.1
44,10.503003311884196,14,1,0.1
45,30.02511036564651,15,1,0.1
46,21.580255758564302,13,1,0.1
47,64.75031075741407,57,1,0.1
48,525.9919857213398,9,2,0.2
49,143.75359217090113,33,2,0.2
50,-4.533529122105326,9,2,0.2
51,38.49081975273407,18,2,0.2
52,8.000647905087307,13,2,0.2
53,546.8762912239949,14,3,0.2
54,13.361797736445066,22,3,0.2
55,63.658417147240414,30,3,0.2
56,3.480926715781239,9,3,0.2
57,-2.5895375180010216,12,3,0.2
58,-2.2203112239639538,9,3,0.1
59,2.303899554059191,10,3,0.1
60,1.6792485570928974,12,3,0.1
61,17.221226399121043,16,3,0.1
62,10.041916283007085,13,3,0.1
63,535.2090483866273,13,4,0.1
64,22.51181980456193,14,4,0.1
65,1.7244976342024163,16,4,0.1
66,2.1803891839502576,11,4,0.1
67,15.980601829194873,13,4,0.1
68,131.5307092391523,30,4,0.1
69,1.1609596168381682,12,4,0.1
70,38.450145017373174,18,4,0.1
71,43.53526474453953,15,4,0.1
72,87.18366705480274,22,4,0.1
73,47.00962330479659,18,4,0.0
74,96.74127148829558,27,4,0.0
75,53.59097030580835,42,4,0.0
76,0.5926639985581943,10,4,0.0
77,537.5582017524639,11,5,0.1
78,44.49765881916327,18,5,0.1
79,-1.7242647141746517,11,5,0.1
80,32.9074774094629,17,5,0.1
81,2.607987270679999,13,5,0.1
82,594.317158219981,26,6,0.2
83,-3.540039520446408,12,6,0.2
84,70.52193606431823,28,6,0.2
85,28.606382493996914,13,6,0.2
86,81.48889145622553,26,6,0.2
87,27.205427967716524,17,6,0.1
88,547.6179665715019,16,7,0.2
89,25.427160712980168,13,7,0.2
90,37.47657761351189,17,7,0.2
91,92.21209559791942,44,7,0.2
92,56.104371900219284,19,7,0.1
93,73.77763849553298,30,7,0.1
94,40.223357555939955,17,7,0.1
95,533.3993066593437,10,8,0.2
96,532.0246263296511,14,9,0.3
97,594.5921812588099,30,10,0.4
98,55.17773026273069,34,10,0.3
99,79.99464674431391,24,10,0.3
100,41.944462440132,19,10,0.3
101,62.60736616975783,59,10,0.3
102,47.53134017096976,29,10,0.3
103,-6.488479755004812,16,10,0.3
104,245.70120466011687,55,10,0.3
105,550.0093016357227,15,11,0.3
106,566.6835908717554,19,12,0.3
107,88.78170783348236,45,12,0.2
108,126.31114987363225,57,12,0.2
109,-9.078028051033332,8,12,0.2
110,-7.464117225974626,10,12,0.2
111,-9.847394253029973,23,12,0.2
112,43.38960734890253,32,12,0.2
113,24.834097184687735,68,12,0.2
114,36.60748714093445,30,12,0.2
115,50.107751002464965,33,12,0.1
116,42.58679169933032,34,12,0.0
117,7.409028247466448,18,12,0.0
118,8.614886544248417,19,12,0.0
119,-6.6579315844461195,15,12,0.0
120,173.95914628323303,127,12,0.0
121,67.21176897000312,30,12,0.0
122,46.61889418933316,20,12,0.0
123,-9.297776403334229,7,12,0.0
124,34.74967014736963,18,12,0.0
125,85.37837674813296,39,12,0.0
126,-3.696968424751029,12,12,0.0
127,37.55851805126233,33,12,0.0
128,-3.1442293369571654,15,12,0.0
129,18.77295555755504,16,12,0.0
130,-9.74551791201853,14,12,0.0
131,-2.8494009026568072,14,12,0.0
132,70.80938182498217,30,12,0.0
133,-35.031793573792925,17,12,0.0
134,46.753540705852814,17,12,0.0
135,-8.540581805047102,9,12,0.0
136,-25.18270784296595,18,12,0.0
137,17.3295216068584,12,12,0.0
138,-9.199476573864237,10,12,0.0
139,33.35414094110372,18,12,0.0
140,24.739736130030053,36,12,0.0
141,-0.24086814339208473,19,12,0.0
142,-43.90323512868146,44,12,0.0
143,-25.898544310691122,28,12,0.0
144,-19.86757665013384,35,12,0.0
145,3.353326111050606,11,12,0.0
146,560.4772182578358,15,13,0.1
147,-8.088049743131451,28,13,0.1
148,5.264211709916825,25,13,0.1
149,3.356506682675203,32,13,0.1
150,-10.757111268907796,11,13,0.1
151,-18.402757773444588,13,13,0.1
152,28.374858838174884,38,13,0.1
153,61.3436435093659,25,13,0.1
154,-24.315226280683994,18,13,0.1
