episode,Reward,step_count,goal_log
167,-178.7022973797634,0,31
168,-24.6863219374543,0,31
169,-27.88356726143306,0,31
170,52.38303813336026,0,31
171,-134.98524660591607,0,31
172,529.3670286821568,0,32
173,511.26701853921315,0,33
174,-35.00906486011413,0,33
175,-192.13486445946225,0,33
176,1.8649090011138547,0,33
177,-46.066172774208006,0,33
178,-27.683647856114042,0,33
179,17.833497863100217,0,33
180,-80.2033335014601,0,33
181,506.72663920421417,0,34
182,9.40052838855987,0,34
183,513.8113308986067,0,35
184,-73.40302197673468,0,35
185,-108.24972473846559,0,35
186,6.238630497264861,0,35
187,-117.4194101857257,0,35
188,506.61361358868055,0,36
189,27.233419767243063,0,36
190,-61.1804553454904,0,36
191,-21.5812803974598,0,36
192,-31.31732140647684,0,36
193,-1.020400300318233,0,36
194,-72.79172192087624,0,36
195,-40.84531672932286,0,36
196,501.35548589932927,0,37
197,-54.46966537201467,0,37
198,-90.67465590435194,0,37
199,-22.720655498793857,0,37
200,-23.691616347888537,0,37
201,-54.39125115531817,0,37
202,-31.668852882396124,0,37
203,502.08399734828777,0,38
204,-116.84479515331056,0,38
205,-10.061183340092771,0,38
206,-27.70296751193487,0,38
207,-85.59672078965296,0,38
208,-27.578310651906115,0,38
209,510.4575505092886,0,39
210,-2.9139645905806546,0,39
211,-27.695095784702374,0,39
212,-23.939440642148814,0,39
213,-61.9951436018129,0,39
214,-56.75450441895783,0,39
215,-80.93859653707489,0,39
216,-68.14988448987933,0,39
217,-76.17389914436671,0,39
218,503.9536792681033,0,40
219,-56.9458065740088,0,40
220,-28.73281850641712,0,40
221,-65.060162221329,0,40
222,-43.03587668756583,0,40
223,-112.27990973381996,0,40
224,505.3120120049097,0,41
225,510.6603781143119,0,42
226,-48.556931936890976,0,42
227,-28.709126898068284,0,42
228,-80.18762322836488,0,42
229,-45.60572916622854,0,42
230,-51.13419308653583,0,42
231,-118.65159378630128,0,42
232,-51.50113237527832,0,42
233,-70.65382542113115,0,42
234,-133.58718525851654,0,42
235,-56.81935653014041,0,42
236,-70.7470532998877,0,42
237,-46.0556313592137,0,42
238,503.3019425396952,0,43
239,511.9681279638171,0,44
240,502.3168850395247,0,45
