episode,Reward,step_count,goal_log,goal_percentage_log
0,9.205942281077986,11,0,0.0
1,-46.05636711522169,17,0,0.0
2,35.80610666195622,19,0,0.0
3,-36.66618271708235,8,0,0.0
4,-50.14362049162314,33,0,0.0
5,52.61489916928353,57,0,0.0
6,5.929554526539221,13,0,0.0
7,1.2532418870160953,21,0,0.0
8,-22.776031515640447,3,0,0.0
9,-8.177078581810708,10,0,0.0
10,-49.84553903686505,18,0,0.0
11,-17.711410263795667,1,0,0.0
12,-29.82752064686122,12,0,0.0
13,-39.51957902052111,9,0,0.0
14,-35.25047358235143,8,0,0.0
15,-17.646366012943165,1,0,0.0
16,-21.124600241055987,17,0,0.0
17,-31.849674537891275,6,0,0.0
18,-33.99843901086633,14,0,0.0
19,-91.95951614319955,22,0,0.0
20,-29.94661118757157,25,0,0.0
21,6.921837408283835,11,0,0.0
22,3.7654292922984816,17,0,0.0
23,-16.799043594497366,16,0,0.0
24,-10.68584093961789,9,0,0.0
25,-7.848905646103342,13,0,0.0
26,-50.708714900362466,13,0,0.0
27,-17.612803048500545,1,0,0.0
28,-49.28779943029917,12,0,0.0
29,-103.19090755580747,31,0,0.0
30,14.48378132945185,22,0,0.0
31,44.88407475095304,23,0,0.0
32,-23.23119062014173,3,0,0.0
33,-34.05314256806974,8,0,0.0
34,-23.22187722538099,3,0,0.0
35,-8.828206212996694,13,0,0.0
36,-13.924371407495276,21,0,0.0
37,-29.22882769799184,5,0,0.0
38,5.571260101700744,19,0,0.0
39,-29.957591048850738,7,0,0.0
40,18.220658514468006,13,0,0.0
41,-34.84369598288751,11,0,0.0
42,30.355621095419803,59,0,0.0
43,-61.48504677450028,15,0,0.0
44,19.200600957162564,19,0,0.0
45,68.6554520693848,43,0,0.0
46,-59.547541511045466,27,0,0.0
47,-64.15207743437934,40,0,0.0
48,14.564466306384595,14,0,0.0
49,25.345361368935315,17,0,0.0
50,-1.2589288792390434,11,0,0.0
51,-44.71255453758569,14,0,0.0
52,-50.07632320880616,46,0,0.0
53,3.6761050659868424,37,0,0.0
54,8.216040557718594,9,0,0.0
55,-7.193674248011751,29,0,0.0
56,-17.768219451526118,1,0,0.0
57,-0.5510316331737961,22,0,0.0
58,-23.518988811285737,13,0,0.0
59,7.270684398787086,17,0,0.0
60,-11.177068211093818,26,0,0.0
61,-57.904315580837256,26,0,0.0
62,-33.59380273267083,7,0,0.0
63,95.00017826889419,28,0,0.0
64,23.262597213631434,19,0,0.0
65,-33.89876705551491,14,0,0.0
66,20.55292859834295,39,0,0.0
67,-46.00586279928062,20,0,0.0
68,-32.06470107999516,10,0,0.0
69,18.156836641914552,28,0,0.0
70,4.697534390835969,21,0,0.0
71,-21.066930065483305,12,0,0.0
72,-26.41763959440214,16,0,0.0
73,-26.079704516626613,9,0,0.0
74,-17.802133085444197,1,0,0.0
75,-28.904720520764393,17,0,0.0
76,23.84286349044377,18,0,0.0
77,-17.77924512735964,1,0,0.0
78,16.917193562131082,17,0,0.0
79,-1.096071789784835,15,0,0.0
80,-12.920061064439674,12,0,0.0
81,-32.342533876951926,10,0,0.0
82,-32.772410687466376,14,0,0.0
83,-36.10186656430194,14,0,0.0
84,11.797417095571719,19,0,0.0
85,-27.601808156031893,44,0,0.0
86,-39.396131026482095,9,0,0.0
87,-35.28582573896632,24,0,0.0
88,-17.738152175191217,1,0,0.0
89,-56.60380322987913,22,0,0.0
90,-21.105187881989288,19,0,0.0
91,-1.3667925310256077,8,0,0.0
92,-28.793202671422286,6,0,0.0
93,-80.39692092162754,22,0,0.0
94,-27.607454972683193,30,0,0.0
95,-43.54881722169408,10,0,0.0
96,7.391536920105821,28,0,0.0
97,-33.01985879728927,12,0,0.0
98,-32.297872355480436,23,0,0.0
99,-18.827095039300616,17,0,0.0
100,-30.910931665386677,12,0,0.0
101,39.03583130018001,47,0,0.0
102,-17.80900483156451,1,0,0.0
103,134.22217692363313,59,0,0.0
104,-45.96266045640937,18,0,0.0
105,-48.250556436037584,26,0,0.0
106,-50.89973047209937,11,0,0.0
107,-8.144354342433626,99,0,0.0
108,-18.697101930119082,13,0,0.0
109,-21.66282788936086,27,0,0.0
110,-17.840085905782438,1,0,0.0
111,-1.4913710136222154,9,0,0.0
112,-38.12329084139562,13,0,0.0
113,-47.76989539335794,15,0,0.0
114,22.31772811889153,36,0,0.0
115,-26.018045282918152,18,0,0.0
116,-51.47993837329682,16,0,0.0
117,-73.99716581383706,23,0,0.0
118,-32.93674032797557,16,0,0.0
119,-17.740067405991418,1,0,0.0
120,25.022755319733935,21,0,0.0
121,-32.59252911968753,21,0,0.0
122,-54.23662824458354,12,0,0.0
123,-43.572689714518106,24,0,0.0
124,-17.832131739905325,1,0,0.0
125,-46.54629079414946,17,0,0.0
126,-40.4516252627249,10,0,0.0
127,56.352455921846015,22,0,0.0
128,-49.54910096789422,14,0,0.0
129,-42.44729743972938,12,0,0.0
130,-32.03091677098354,15,0,0.0
131,26.93205700802862,21,0,0.0
132,-45.98281569329087,10,0,0.0
133,79.49564519501826,32,0,0.0
134,-9.867885060372224,40,0,0.0
135,-66.99164892836356,18,0,0.0
136,-20.49378915639857,24,0,0.0
137,-60.049229554551516,22,0,0.0
138,18.103814700330247,23,0,0.0
139,-23.129868038289004,19,0,0.0
140,-77.5509376493946,28,0,0.0
141,26.842538279593832,21,0,0.0
142,-12.18648403856781,26,0,0.0
143,-49.13065493215166,17,0,0.0
144,-85.63839822207275,52,0,0.0
145,-18.126074951956745,16,0,0.0
146,12.342258721369578,23,0,0.0
147,35.96259739966427,19,0,0.0
148,-22.833000053060584,3,0,0.0
149,-24.864044109410642,16,0,0.0
150,-17.668883386601472,1,0,0.0
151,-14.03180605175035,17,0,0.0
152,37.35657759366737,41,0,0.0
153,-71.48876343928653,19,0,0.0
154,-32.44493046859458,14,0,0.0
155,-17.833843326583782,1,0,0.0
156,-13.675635087208912,29,0,0.0
157,22.82630357697636,33,0,0.0
158,-17.646003923761224,1,0,0.0
159,12.870463935783913,16,0,0.0
160,-10.866184668927767,20,0,0.0
161,-36.83176906301766,9,0,0.0
162,-24.47434775029142,15,0,0.0
163,-5.319223258375919,27,0,0.0
164,-44.05778037463617,25,0,0.0
165,54.354863809284005,41,0,0.0
166,-15.990338562622554,13,0,0.0
167,-32.09800202184691,29,0,0.0
168,-15.340977134694656,17,0,0.0
169,-35.32843513026587,17,0,0.0
170,-42.87835076844125,9,0,0.0
171,-26.540167634565776,14,0,0.0
172,-54.60882383289776,19,0,0.0
173,-32.70075759375085,10,0,0.0
174,-45.805207557421426,12,0,0.0
175,-38.78014805843739,8,0,0.0
176,43.691729478365815,32,0,0.0
177,-6.698601846321172,12,0,0.0
178,-23.915340181397376,17,0,0.0
179,48.05301012770018,43,0,0.0
180,-2.526130407476188,12,0,0.0
181,7.369457760337699,8,0,0.0
182,4.8847832831178,15,0,0.0
183,14.056225864728923,16,0,0.0
184,-36.347668579315034,13,0,0.0
185,-51.59414954742855,12,0,0.0
186,5.982527697804063,16,0,0.0
187,2.0539930372204473,45,0,0.0
188,-17.706793642144127,25,0,0.0
189,-41.12740322925656,11,0,0.0
190,-54.76650148967708,15,0,0.0
191,1.032943919802717,15,0,0.0
192,63.131724309193466,52,0,0.0
193,49.70889295381595,29,0,0.0
194,0.7093524731022463,15,0,0.0
195,-44.39797042306413,39,0,0.0
196,-73.5214038268337,20,0,0.0
197,2.6594020154538534,21,0,0.0
198,59.474363338718504,57,0,0.0
199,-0.6712624339424238,11,0,0.0
200,-79.90936394504827,78,0,0.0
201,-68.35131946926973,18,0,0.0
202,-43.88649159230758,10,0,0.0
203,-79.51185119293172,31,0,0.0
204,-51.313640720072144,32,0,0.0
205,-17.63185971078118,1,0,0.0
206,-1.688155233448569,9,0,0.0
207,-41.59073027710487,12,0,0.0
208,-85.17412299038456,27,0,0.0
209,55.465232185417754,22,0,0.0
210,-17.618013865963814,1,0,0.0
211,257.8089961838402,71,0,0.0
212,-37.86866935076125,31,0,0.0
213,-33.9439471593126,17,0,0.0
214,29.831346549422527,17,0,0.0
215,-44.20594495027109,12,0,0.0
216,52.87060046932922,37,0,0.0
217,-77.91692107473965,19,0,0.0
218,-35.94891555268883,17,0,0.0
219,-68.78279713344855,17,0,0.0
220,4.997365408085988,10,0,0.0
221,-58.606177175293794,58,0,0.0
222,-36.20547321013002,8,0,0.0
223,-24.533659322342576,16,0,0.0
224,-17.652732841749028,1,0,0.0
225,-68.54156483280926,19,0,0.0
226,20.372703822791063,20,0,0.0
227,-79.39030138639743,25,0,0.0
228,50.412706990404864,30,0,0.0
229,163.39911272049937,35,0,0.0
230,1.757159395808939,31,0,0.0
231,-67.90690908809027,17,0,0.0
232,4.516733760961875,28,0,0.0
233,-19.083830196459786,26,0,0.0
234,1.3163391419883315,10,0,0.0
235,9.238843097421928,29,0,0.0
236,2.926191028573937,16,0,0.0
237,-41.941634497012416,10,0,0.0
238,-3.5682616264353477,20,0,0.0
239,-27.724146067534953,11,0,0.0
240,-42.3725710194606,10,0,0.0
241,-2.82098268671224,24,0,0.0
242,47.209366642374206,42,0,0.0
243,8.030048393493185,20,0,0.0
244,-17.809153489966853,1,0,0.0
245,20.48613026159486,15,0,0.0
246,-28.257915415811382,6,0,0.0
247,-40.53663390768625,10,0,0.0
248,-17.81508609601403,1,0,0.0
249,112.91342166912258,71,0,0.0
250,-40.91714809954221,13,0,0.0
251,-17.82188348189479,1,0,0.0
252,-7.046585677972102,26,0,0.0
253,-17.72346764419406,1,0,0.0
254,7.29927177771023,20,0,0.0
255,-35.135635528209534,17,0,0.0
256,-33.18710692175628,11,0,0.0
257,42.48458031384341,39,0,0.0
258,-11.275123259566838,15,0,0.0
259,83.6484501808422,51,0,0.0
260,90.16706799025562,45,0,0.0
261,26.078608264569787,36,0,0.0
262,22.34097395611738,28,0,0.0
263,54.79195637188877,34,0,0.0
264,-33.800121239620324,15,0,0.0
265,-1.4220820278347563,33,0,0.0
266,54.83183667889435,45,0,0.0
267,26.261228030978053,31,0,0.0
268,-24.539055559187208,45,0,0.0
269,-38.67503164557533,16,0,0.0
270,-24.791478524448685,21,0,0.0
271,117.36209260031296,74,0,0.0
272,-30.725933621492103,14,0,0.0
273,-25.360895100629165,19,0,0.0
274,-36.19116137259642,12,0,0.0
275,-53.25847362093445,52,0,0.0
276,-35.07793123300432,12,0,0.0
277,-26.82843075893231,20,0,0.0
278,-25.28600148970807,34,0,0.0
279,-39.829954219786615,9,0,0.0
280,-55.4583119968988,16,0,0.0
281,33.087422765408476,74,0,0.0
282,-5.807099193331101,19,0,0.0
283,47.37370019541574,46,0,0.0
284,-44.436025505499856,14,0,0.0
285,28.263317504573447,46,0,0.0
286,-36.13847938763527,7,0,0.0
287,-25.673528283316248,8,0,0.0
288,28.791167431874445,20,0,0.0
289,-30.664546700153466,6,0,0.0
290,-10.722805124462614,21,0,0.0
291,32.81042861483627,19,0,0.0
292,-32.68487898572104,7,0,0.0
293,-14.186428425616874,8,0,0.0
294,-36.701988463995555,8,0,0.0
295,-31.66500964040533,16,0,0.0
296,94.86393097214818,24,0,0.0
297,-38.541169374758944,10,0,0.0
298,-17.713551462900718,37,0,0.0
299,-17.444933374239042,50,0,0.0
300,-42.27458585014634,34,0,0.0
301,-54.47950685455034,17,0,0.0
302,-42.91573257027812,10,0,0.0
303,-3.585386964476985,20,0,0.0
304,18.367403126339173,47,0,0.0
305,-17.565453088420586,1,0,0.0
306,0.8725809824073174,14,0,0.0
307,-2.4601544850955186,35,0,0.0
308,69.37952149857271,36,0,0.0
309,4.22225031740283,28,0,0.0
310,-8.050923378287289,41,0,0.0
311,-43.141481956254054,15,0,0.0
312,-17.604993539295382,1,0,0.0
313,-4.03129277991205,33,0,0.0
314,-17.73185145386211,1,0,0.0
315,54.623091570946826,65,0,0.0
316,14.197676578370405,9,0,0.0
317,-45.57407736951727,19,0,0.0
318,-43.22725367203458,26,0,0.0
319,52.65207633190761,23,0,0.0
320,-1.4411232523501498,22,0,0.0
321,-10.399609202822338,68,0,0.0
322,3.0736462121543795,29,0,0.0
323,-33.611469466056604,27,0,0.0
324,50.00679620069841,47,0,0.0
325,51.89522768469254,67,0,0.0
326,-39.45399944217082,10,0,0.0
327,-7.04232421259734,20,0,0.0
328,2.210636284690903,17,0,0.0
329,18.21189832326178,28,0,0.0
