episode,Reward,step_count,goal_log,goal_percentage_log
0,599.0717297374372,22,1,0.0
1,38.15927135027398,22,1,0.0
2,-34.60994244271211,11,1,0.0
3,-6.27255578967911,31,1,0.0
4,587.1065007368804,25,2,0.0
5,19.502962823029478,38,2,0.0
6,3.016285146696436,11,2,0.0
7,25.099197927290767,24,2,0.0
8,568.5609989362291,23,3,0.0
9,-9.958817252305984,16,3,0.0
10,-17.244193407542028,1,3,0.0
11,-13.132499391159248,9,3,0.0
12,-8.244646904075957,6,3,0.0
13,125.4869870557666,59,3,0.0
14,-13.889751914896491,9,3,0.0
15,-27.9069871361024,11,3,0.0
16,38.102338213657895,22,3,0.0
17,-15.83053790423032,11,3,0.0
18,34.0625971397928,17,3,0.0
19,-6.958984547707599,9,3,0.0
20,-50.551812228652416,40,3,0.0
21,0.5367607818451763,20,3,0.0
22,22.391583165798824,13,3,0.0
23,19.515405361452668,18,3,0.0
24,17.65557433880496,18,3,0.0
25,-26.286536537861615,9,3,0.0
26,-15.567171392518373,20,3,0.0
27,49.21851831884665,35,3,0.0
28,-28.27904411609439,6,3,0.0
29,-29.58111332136943,9,3,0.0
30,30.131270435230505,33,3,0.0
31,-17.255581486076174,1,3,0.0
32,-21.389529451239568,13,3,0.0
33,24.12865013667217,37,3,0.0
34,-86.27572258186805,27,3,0.0
35,-78.23925456397296,22,3,0.0
36,6.255877410688656,44,3,0.0
37,19.775968260888643,18,3,0.0
38,-20.166429484845878,18,3,0.0
39,-4.420020771214878,15,3,0.0
40,-17.169377448810163,1,3,0.0
41,3.98963797963863,39,3,0.0
42,121.50202056368893,35,3,0.0
43,8.833083365822102,10,3,0.0
44,-26.627516402107858,15,3,0.0
45,-17.09269715903347,1,3,0.0
46,28.154282184100417,48,3,0.0
47,0.5056830863586956,10,3,0.0
48,56.55809788842725,58,3,0.0
49,-22.263602075532656,8,3,0.0
50,-29.889482224578508,12,3,0.0
51,35.8571313887505,36,3,0.0
52,-30.730720482586147,15,3,0.0
53,2.395744206946107,28,3,0.0
54,0.7660949923176084,19,3,0.0
55,-39.2427975192104,11,3,0.0
56,600.2592093022579,23,4,0.1
57,582.9161569216232,27,5,0.2
58,-17.248956351890833,1,5,0.2
59,144.93804444451007,37,5,0.2
60,-4.9996768202668225,32,5,0.2
61,1.2541242685100347,11,5,0.2
62,-24.46786504438989,15,5,0.2
63,-22.049566394549835,24,5,0.2
64,696.2177182870101,116,6,0.3
65,14.50713781934876,31,6,0.3
66,10.23450402104019,21,6,0.2
